Publisher,Country,contentTitle,contentGenre,contentCategory,cat_nombres,evidencia,veredicto,detalle,ext_imdb_id,ext_tipo,ext_generos,ext_confianza,genero_vs_imdb,conflicto_intra_titulo,Total Requests,prop_iab22,prop_iab22_nombres,prop_iab10,nivel_actual,nivel_propuesto,prop_evidencia,prop_forma_origen
Roku - oRTB,Mexico,Not Applicable,Adventure,"[IAB1-5, IAB1-7, IAB11, IAB12]","Movies | Television | Law, Gov't & Politics | News",interna,contradice,vertical:noticias;vertical:politica,,,,,no_comparable,,336584320,[325],Movies > Action and Adventure Movies,[IAB1],2,2,interna,
Roku - oRTB,Mexico,roku,Action,"[IAB1-5, IAB1-7, IAB11, IAB12]","Movies | Television | Law, Gov't & Politics | News",interna,contradice,vertical:noticias;vertical:politica,,,,,no_comparable,,271983840,[325],Movies > Action and Adventure Movies,[IAB1],2,2,interna,
Vidaa,Mexico,lo que la vida me robo,Drama,[IAB12],News,externa,contradice,vertical:noticias,tt3223004,tvSeries,"Drama,Romance",A,coincide,,161627120,"[647, 642]",Television > Drama TV | Television > Soap Opera TV,[IAB1-7],1,3,externa,imdb
Vidaa,Mexico,jajaja,Comedy,[IAB1-7],Television,externa,contradice,forma:tv!=pelicula,tt1452626,movie,"Comedy,Drama,Romance",A,coincide,,124905120,"[330, 333, 326]",Movies > Comedy Movies | Movies > Drama Movies | Movies > Romance Movies,[IAB1-5],2,3,externa,imdb
Vidaa,Mexico,las estrellas,Drama,[IAB12],News,interna,contradice,vertical:noticias,,,,,no_comparable,,89286640,"[333, 647]",Movies > Drama Movies | Television > Drama TV,[IAB1],1,2,interna,
Vidaa,Mexico,mi corazon es tuyo,Comedy,[IAB12],News,externa,contradice,vertical:noticias,tt3825904,tvSeries,"Comedy,Romance",A,coincide,,80546720,"[646, 642]",Television > Comedy TV | Television > Soap Opera TV,[IAB1-7],1,3,externa,imdb
Vidaa,Mexico,la fea mas bella,Comedy,[IAB12],News,externa,contradice,vertical:noticias,tt0497152,tvSeries,"Comedy,Drama,Romance",A,coincide,,76022800,"[646, 647, 642]",Television > Comedy TV | Television > Drama TV | Television > Soap Opera TV,[IAB1-7],1,3,externa,imdb
Vidaa,Mexico,rubi 2005,Drama,[IAB12],News,interna,contradice,vertical:noticias,,,,,no_comparable,,71682320,"[333, 647]",Movies > Drama Movies | Television > Drama TV,[IAB1],1,2,interna,
Vidaa,Mexico,amores verdaderos,Drama,[IAB12],News,externa,contradice,vertical:noticias,tt2320524,tvSeries,"Drama,Romance",A,coincide,,66271040,"[647, 642]",Television > Drama TV | Television > Soap Opera TV,[IAB1-7],1,3,externa,imdb
Vidaa,Mexico,acelerados,Sports,[IAB1-6],Music,externa,contradice,vertical:musica,tt7057612,tvSeries,Sport,B,sin_genero_declarado,,58344000,[483],Sports,[IAB17],1,1,externa,imdb
Vidaa,Mexico,la rosa de guadalupe,Drama,[IAB12],News,externa,contradice,vertical:noticias,tt1192302,tvSeries,Drama,A,coincide,,51482800,"[647, 642]",Television > Drama TV | Television > Soap Opera TV,[IAB1-7],1,3,externa,imdb
Vidaa,Mexico,destilando amor,drama,[IAB12],News,externa,contradice,vertical:noticias,tt0940629,tvSeries,Drama,A,coincide,,43177520,"[647, 642]",Television > Drama TV | Television > Soap Opera TV,[IAB1-7],1,3,externa,imdb
Vidaa,Mexico,corazon indomable,Drama,[IAB12],News,externa,contradice,vertical:noticias,tt0108451,movie,"Drama,Romance",B,coincide,,40513040,"[333, 326, 330]",Movies > Drama Movies | Movies > Romance Movies | Movies > Comedy Movies,[IAB1-5],1,3,externa,imdb
Vidaa,Mexico,fuego en la sangre,Drama,[IAB12],News,externa,contradice,vertical:noticias,tt0117005,video,Drama,B,coincide,,37522720,"[333, 647]",Movies > Drama Movies | Television > Drama TV,[IAB1],1,2,externa,
